Modelo,Target,RMSE_Train,RMSE_Test,MAE_Train,MAE_Test,R2_Train,R2_Test,CV_RMSE,Tempo_Treino
LinearRegression,Heating_Load,2.746272706470003,2.8875761329218053,1.97412906088416,2.1019028007849423,0.9257544260414898,0.9177676793182428,2.843623050878716,0.0014600753784179688
Ridge,Heating_Load,2.749981678968091,2.886009254567238,1.9815265355061304,2.100601819188104,0.9255537462294128,0.9178568981503316,2.8469772476409947,0.0015931129455566406
Lasso,Heating_Load,2.8812414737223504,2.9608291046858293,2.078622034139519,2.1367365238421274,0.918277327114194,0.9135425659632425,2.919404848285491,0.0017402172088623047
RandomForest,Heating_Load,0.2059538887414107,0.507998687886038,0.1344522346368722,0.34133268398268235,0.9995824358160148,0.9974549235011309,0.5901521607321665,0.062200069427490234
GradientBoosting,Heating_Load,0.4059059428621989,0.4946226042445266,0.28332980640022526,0.3598265814043953,0.998378062678672,0.9975871874724793,0.48608437820546946,0.033782958984375
XGBoost,Heating_Load,0.06728032821542919,0.4041460010599573,0.042417798708271094,0.2910711334690903,0.9999554385360189,0.9983891606451311,0.5134704837501387,0.0772700309753418
NeuralNetwork,Heating_Load,0.29148560655199557,0.6154030481046351,0.20350163934833415,0.43659214605754393,0.999163593351886,0.9962649626798535,0.6440331845830094,1.8273341655731201
LinearRegression,Cooling_Load,3.1385502320422276,3.204980267061706,2.222191535666759,2.28745089697669,0.8907824073940176,0.8860432035948419,3.2453845123392666,0.0009899139404296875
Ridge,Cooling_Load,3.1422249511119813,3.2041624056734146,2.2251012074599275,2.2854375734826835,0.8905265064881528,0.8861013561975032,3.2484439967346574,0.0002791881561279297
Lasso,Cooling_Load,3.2723935577685426,3.300864686478868,2.333457653442922,2.3388986666121996,0.8812686270472653,0.8791226431880017,3.3230059329491155,0.0006299018859863281
RandomForest,Cooling_Load,0.7363376571929282,1.8820956670460227,0.43300707635009084,1.15947186147186,0.9939884224412934,0.9607017780110011,2.0058266202564417,0.11621975898742676
GradientBoosting,Cooling_Load,1.3612869163558239,1.515806189807261,0.9039597827457021,1.0385035490915746,0.9794536930163285,0.9745095874604508,1.6493043876081739,0.028862953186035156
XGBoost,Cooling_Load,0.20835326420198025,1.065251817023591,0.12227914458546564,0.6428597109245531,0.9995186787350704,0.9874109175133385,1.566971175808534,0.08644318580627441
NeuralNetwork,Cooling_Load,0.508840458239966,0.9965477500371135,0.37311943360587224,0.7275931230787852,0.9971292346089478,0.9889824320481444,1.6922899420224902,2.2583770751953125
